Epoch	Train_Loss	Val_Loss	Test_Loss
1	0.050210	0.009718	0.006539
2	0.008736	0.009743	0.006539
3	0.008218	0.007641	0.006539
4	0.007821	0.007820	0.006539
5	0.007677	0.007867	0.006539
6	0.007512	0.008620	0.006539
7	0.007361	0.008096	0.006539
8	0.007263	0.007096	0.006539
9	0.007149	0.008059	0.006539
10	0.007096	0.007493	0.006539
11	0.007028	0.006886	0.006539
12	0.006938	0.007148	0.006539
13	0.006917	0.006766	0.006539
14	0.006843	0.007005	0.006539
15	0.006812	0.007405	0.006539
16	0.006807	0.007186	0.006539
17	0.006747	0.007143	0.006539
18	0.006738	0.007498	0.006539
19	0.006710	0.007620	0.006539
20	0.006673	0.007161	0.006539
21	0.006662	0.006905	0.006539
22	0.006601	0.006667	0.006539
23	0.006573	0.006584	0.006539
24	0.006549	0.006605	0.006539
25	0.006517	0.006672	0.006539
26	0.006509	0.006591	0.006539
27	0.006471	0.006772	0.006539
28	0.006506	0.006706	0.006539
29	0.006445	0.007117	0.006539
30	0.006438	0.006941	0.006539
31	0.006412	0.006486	0.006539
32	0.006399	0.006916	0.006539
33	0.006395	0.006464	0.006539
34	0.006390	0.006895	0.006539
35	0.006364	0.006454	0.006539
36	0.006364	0.006519	0.006539
37	0.006358	0.006487	0.006539
38	0.006315	0.006618	0.006539
39	0.006322	0.006404	0.006539
40	0.006265	0.006458	0.006539
41	0.006294	0.006616	0.006539
42	0.006253	0.006479	0.006539
43	0.006249	0.006441	0.006539
44	0.006245	0.006564	0.006539
45	0.006252	0.006482	0.006539
46	0.006255	0.006488	0.006539
47	0.006238	0.006455	0.006539
48	0.006220	0.006612	0.006539
49	0.006209	0.006614	0.006539
50	0.006230	0.006659	0.006539
51	0.006206	0.006437	0.006539
52	0.006207	0.006494	0.006539
53	0.006178	0.006668	0.006539
54	0.006181	0.006569	0.006539
55	0.006188	0.006522	0.006539
56	0.006154	0.006427	0.006539
57	0.006161	0.006366	0.006539
58	0.006174	0.006523	0.006539
59	0.006160	0.006426	0.006539
60	0.006151	0.006500	0.006539
61	0.006164	0.006419	0.006539
62	0.006148	0.006454	0.006539
63	0.006128	0.006453	0.006539
64	0.006099	0.006484	0.006539
65	0.006091	0.006745	0.006539
66	0.006089	0.006856	0.006539
67	0.006141	0.006433	0.006539
68	0.006213	0.006563	0.006539
69	0.006142	0.006393	0.006539
70	0.006101	0.006369	0.006539
71	0.006066	0.006634	0.006539
72	0.006083	0.006551	0.006539
73	0.006083	0.006417	0.006539
74	0.006027	0.006713	0.006539
75	0.006058	0.006807	0.006539
76	0.006068	0.006328	0.006539
77	0.006012	0.006518	0.006539
78	0.006015	0.006472	0.006539
79	0.006021	0.006380	0.006539
80	0.006013	0.007072	0.006539
81	0.006021	0.006592	0.006539
82	0.005990	0.006502	0.006539
83	0.006032	0.006429	0.006539
84	0.005981	0.006496	0.006539
85	0.005996	0.006731	0.006539
86	0.006041	0.006619	0.006539
87	0.005995	0.006511	0.006539
88	0.006004	0.006448	0.006539
89	0.005972	0.006462	0.006539
90	0.005942	0.006405	0.006539
91	0.005925	0.006513	0.006539
92	0.005922	0.006957	0.006539
93	0.005916	0.006422	0.006539
94	0.006014	0.006608	0.006539
95	0.005938	0.006690	0.006539
96	0.005932	0.006685	0.006539
97	0.006046	0.006597	0.006539
98	0.005867	0.006448	0.006539
99	0.005882	0.006493	0.006539
100	0.005838	0.006585	0.006539
